Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","188","Costa Rica","5157","Agricultural Use","1314","Insecticides - Biopesticides","2008","2008","t","0.1","A","Official figure","Official figure"
"RP","Pesticides Use","188","Costa Rica","5157","Agricultural Use","1314","Insecticides - Biopesticides","2009","2009","t","0.5","A","Official figure","Official figure"
"RP","Pesticides Use","188","Costa Rica","5157","Agricultural Use","1314","Insecticides - Biopesticides","2010","2010","t","12.46","A","Official figure","Official figure"
"RP","Pesticides Use","188","Costa Rica","5157","Agricultural Use","1314","Insecticides - Biopesticides","2011","2011","t","0.78","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","1996","1996","t","2","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2013","2013","t","0.01","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2014","2014","t","0.01","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2015","2015","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2016","2016","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2017","2017","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2018","2018","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2019","2019","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2020","2020","t","0","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2021","2021","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1314","Insecticides - Biopesticides","1994","1994","t","0.03","A","Official figure","Official figure"
